RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,20025000,Lucchese,636,France,Male,43,1,123126.29,1,1,0,78268.61,1
2,20025001,Iloerika,560,Spain,Female,48,9,0.0,2,1,1,62193.92,1
3,20025002,Chidimma,849,France,Male,35,10,0.0,2,1,0,125445.8,0
4,20025003,Oliver,573,Germany,Male,46,7,133377.8,1,1,1,74846.67,0
5,20025004,Justice,601,Spain,Female,27,6,199689.49,2,1,0,172674.36,0
6,20025005,Elder,793,Germany,Male,59,6,0.0,1,1,0,164975.82,0
7,20025006,Iqbal,768,France,Female,47,5,121164.11,1,1,0,124170.9,0
8,20025007,Eames,702,Spain,Male,34,8,0.0,3,1,1,101866.39,0
9,20025008,Morehead,663,Germany,Male,52,2,0.0,3,1,1,159654.0,0
10,20025009,Graham,662,Spain,Female,31,8,119507.58,1,0,1,186052.15,0
11,20025010,Nielson,738,Germany,Female,48,10,111574.41,2,1,1,128918.42,1
12,20025011,Morales,614,Germany,Female,39,1,0.0,2,1,1,126153.24,1
13,20025012,Lorenzo,850,Spain,Female,39,1,127009.83,2,1,0,24302.95,0
14,20025013,Oliver,613,Germany,Male,32,2,91560.58,1,0,0,130489.37,0
15,20025014,Mills,563,France,Male,42,3,128015.83,2,1,1,123882.73,0
16,20025015,Brookes,677,Germany,Male,22,9,93617.07,2,0,1,94670.77,0
17,20025016,Kanayochukwu,729,France,Male,25,7,83102.72,2,0,0,74858.3,0
18,20025017,King,850,France,Female,40,8,0.0,1,1,0,99019.65,0
19,20025018,Wright,480,France,Female,34,1,80728.15,2,1,1,92914.67,1
20,20025019,Tochukwu,802,Germany,Male,42,9,0.0,2,1,0,36557.55,1
21,20025020,Singleton,695,France,Male,36,9,0.0,1,1,1,2743.69,0
22,20025021,Kryukov,774,France,Female,45,6,0.0,1,1,0,26955.72,0
23,20025022,Ni,647,Germany,Male,28,3,74896.33,2,1,0,15126.32,0
24,20025023,See,472,Spain,Male,37,4,94443.77,1,1,0,170679.74,0
25,20025024,Chiang,710,Spain,Female,33,9,135309.36,1,1,1,91957.39,1
26,20025025,Toscani,718,Spain,Male,28,9,0.0,2,0,1,77951.84,0
27,20025026,Hsia,507,France,Female,51,5,81877.38,1,1,1,140800.66,0
